avg_personal_score,min_personal_score,max_loops,total_latency,total_token_usage,num_agents_triggered_enhancement,num_nodes,num_edges,clustering_coefficient,transitivity,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,pagerank_entropy,heterogeneity_score,collective_score,humaneval_score,gsm8k_score,mmlu_score,label_mas_score
0.34983918605510883,0.2912996535029532,2,32.87944149971008,1956,4,4,8,0.0,0,1.3333333333333333,0.5,0.5,1.3862943607198905,0.0,0.34983918605510883,0.005259969460197397,0.3047983219643581,0.0,0.09406948131940612
0.9295795429947543,0.8208782818640619,1,59.82836389541626,4037,0,4,4,0.0,0,0.6666666666666666,0.5,0.5,1.3862943607198905,0.0,0.9295795429947543,0.8519953331737581,1.0,0.8959134490391754,0.9051803563947141
0.9886713257443991,0.9660139772331973,3,56.23364877700806,3967,1,3,5,1.0,1.0,1.3333333333333333,0.5,0.6666666666666666,1.052612866099876,0.3535533905800155,0.9886713257443991,0.5579345875951354,0.9819482946916298,0.3050328954725098,0.6345583612995586
0.8554190051132421,0.6212743492352224,1,33.01977181434631,2544,0,3,3,1.0,1.0,1.0,0.5,0.6666666666666666,1.0986122883681095,0.0,0.8554190051132421,0.7563584096951824,0.9564245023337232,0.321753793479444,0.7294573142435969
0.9357958070346338,0.8701925402072285,1,67.02732181549072,5071,0,3,3,1.0,1.0,1.0,0.5,0.6666666666666666,1.0986122883681095,0.0,0.9357958070346338,0.6460370101799964,0.9657184783539536,0.5765284350178271,0.7280397355997498
0.9396315137265839,0.8774259674609142,1,56.332661390304565,4792,0,4,4,0.0,0,0.6666666666666666,0.5,0.5,1.3862943607198905,0.0,0.9396315137265839,0.8542596052346145,1.0,0.8461174949735906,0.8963533016120253
0.7277910781691485,0.3573975196245952,2,44.36049246788025,4052,1,3,4,1.0,1.0,1.3333333333333333,0.5,0.6666666666666666,1.0526128660998757,0.3535533905800155,0.7277910781691485,0.5512874975791516,0.9572045404763956,0.6986996797808156,0.7025450468886576
0.896295966477459,0.8312056553515903,1,50.32968735694885,4077,0,4,4,0.0,0,0.6666666666666666,0.5,0.5,1.3862943607198905,0.0,0.896295966477459,0.8697173131589888,1.0,0.5604961079532992,0.8469578781701542
0.9158089244118429,0.7474267732355286,1,39.80053186416626,3106,0,3,3,1.0,1.0,1.0,0.5,0.6666666666666666,1.0986122883681095,0.0,0.9158089244118429,0.6311939825590576,1.0,0.7684988622520574,0.7692967637299402
0.8693228563279704,0.7088803467229781,2,38.85307741165161,2629,1,3,4,1.0,1.0,1.3333333333333333,0.5,0.6666666666666666,1.052612866099876,0.3535533905800155,0.8693228563279704,0.6671287025976261,0.9569682313025237,0.7249878200228933,0.7656523846941488
0.9211497109644797,0.8157877458709246,2,64.57112836837769,5041,1,4,5,0.0,0,0.8333333333333333,0.5,0.5,1.3446139112264093,0.34641016149991904,0.9211497109644797,0.8245761963251945,0.9551519179302996,0.8119959753412705,0.8612328686099413
0.9394869369692941,0.8840118736485145,1,22.412444591522217,1737,0,3,3,1.0,1.0,1.0,0.5,0.6666666666666666,1.0986122883681095,0.0,0.9394869369692941,0.6875771991660286,0.995056795246977,0.5387599266926522,0.7500576234956378
0.9219530677952564,0.7943994653598836,1,41.90847992897034,3918,0,4,4,0.0,0,0.6666666666666666,0.5,0.5,1.3862943607198905,0.0,0.9219530677952564,0.7059207946114804,0.9553234688874477,0.639317413272268,0.7674209206264281
0.9359357704360151,0.8078073113080451,1,33.79189991950989,2675,0,3,3,1.0,1.0,1.0,0.5,0.6666666666666666,1.0986122883681095,0.0,0.9359357704360151,0.8147515544128245,0.990946489165566,0.4931941913137669,0.8032985622188356
0.9701572033298701,0.91047160998961,1,29.884544849395752,2378,0,3,3,1.0,1.0,1.0,0.5,0.6666666666666666,1.0986122883681095,0.0,0.9701572033298701,0.5755752462494654,1.0,0.4040882008309552,0.6686052632909238
0.9455100178080309,0.8762330475795976,2,78.644216299057,6668,1,4,5,0.0,0,0.8333333333333333,0.5,0.5,1.3446139112264093,0.34641016149991904,0.9455100178080309,0.7700911550084443,0.9735855865951583,0.6694424639709263,0.8110097462769548
0.9106610439785222,0.7491563180357814,2,39.512075662612915,2953,1,3,4,1.0,1.0,1.3333333333333333,0.5,0.6666666666666666,1.052612866099876,0.3535533905800155,0.9106610439785222,0.7493563705616292,0.8468028967920569,0.4668374888527948,0.7220865520889906
0.9666590147887545,0.9431211742256156,1,42.23996877670288,3521,0,3,3,1.0,1.0,1.0,0.5,0.6666666666666666,1.0986122883681095,0.0,0.9666590147887545,0.4957448213109728,1.0,0.30595315952785046,0.6090630425610565
0.9611980498237309,0.9093681564873584,1,33.7903528213501,2923,0,3,3,1.0,1.0,1.0,0.5,0.6666666666666666,1.0986122883681095,0.0,0.9611980498237309,0.6852497815429079,0.9518950209606117,0.5030585525995677,0.7288051075795511
0.9563058981326658,0.9094424743092373,1,41.83827543258667,3629,0,4,4,0.0,0,0.6666666666666666,0.5,0.5,1.3862943607198905,0.0,0.9563058981326658,0.750335381583146,1.0,0.8666822510786505,0.8485041410073031
0.9161735836564907,0.7898574094814879,1,52.33032560348511,4659,0,4,4,0.0,0,0.6666666666666666,0.5,0.5,1.3862943607198905,0.0,0.9161735836564907,1.0,1.0,1.0,1.0
0.8875642837821768,0.8287584006623052,2,45.081363677978516,3847,1,4,5,0.0,0,0.8333333333333333,0.5,0.5,1.3446139112264093,0.34641016149991904,0.8875642837821768,0.5521150323478176,0.9642121483281602,0.0,0.5653211606723568
0.9917478618427139,0.9669914473708556,2,67.47112107276917,5742,1,4,5,0.0,0,0.8333333333333333,0.5,0.5,1.3446139112264093,0.34641016149991904,0.9917478618427139,0.7437692831063365,1.0,0.5718786646171897,0.7862603744766062
0.5104009697933078,0.3318584061314568,3,120.5880446434021,9396,3,3,8,1.0,1.0,2.0,0.5,0.6666666666666666,1.0986122883681095,0.0,0.5104009697933078,0.6112867845481847,0.9934529691381409,0.7045778428266013,0.7445948515808549
0.9186392686700321,0.8578496498200694,2,46.23159432411194,3685,1,3,4,1.0,1.0,1.3333333333333333,0.5,0.6666666666666666,1.052612866099876,0.3535533905800155,0.9186392686700321,0.5018493467171143,1.0,0.512945558616497,0.6535137850818565
0.9887359378932087,0.9662078136796263,1,38.308218479156494,3192,0,3,3,1.0,1.0,1.0,0.5,0.6666666666666666,1.0986122883681095,0.0,0.9887359378932087,0.6719851959238937,1.0,0.7264918479882583,0.7812909675595985
0.8890634973517691,0.7004832209853469,1,52.023258447647095,3934,0,4,4,0.0,0,0.6666666666666666,0.5,0.5,1.3862943607198905,0.0,0.8890634973517691,0.8002555038452991,1.0,0.8762565116111807,0.8753790542448857
0.9705163425286304,0.9263273770608292,2,99.54842591285706,6444,1,4,5,0.0,0,0.8333333333333333,0.5,0.5,1.3446139112264093,0.34641016149991904,0.9705163425286304,0.8882464485379417,1.0,0.8727606793656564,0.918675360142102
0.901840795259572,0.7296665871729968,1,42.6797354221344,2400,0,3,3,1.0,1.0,1.0,0.5,0.6666666666666666,1.0986122883681095,0.0,0.901840795259572,0.642887506168727,0.95164957612326,0.7321332271215958,0.7533652713456607
0.77951381599073,0.38013120932922806,2,146.14875411987305,7223,2,4,6,0.0,0,0.9999999999999999,0.5,0.5,1.3416499652602722,0.3333333333222222,0.77951381599073,0.9661147409389965,1.0,1.0,0.9830573704694983
0.8920772345050123,0.6762317035150371,1,42.25930738449097,2326,0,3,3,1.0,1.0,1.0,0.5,0.6666666666666666,1.0986122883681095,0.0,0.8920772345050123,0.6886985200126087,1.0,0.5350974936765658,0.7513687587416175
0.8861208255277142,0.7288604567557788,1,69.86307191848755,3477,0,3,3,1.0,1.0,1.0,0.5,0.6666666666666666,1.0986122883681095,0.0,0.8861208255277142,0.6926212573475016,1.0,0.6443931934995553,0.7751892673736618
0.9020077549540366,0.6988490414094422,1,78.50600147247314,4963,0,4,4,0.0,0,0.6666666666666666,0.5,0.5,1.3862943607198905,0.0,0.9020077549540366,0.8319884475242664,0.9952298358426642,0.8528909346866962,0.8851413614522717
